"","Name","Line.1","Line.2","Town","County","Postcode","full_add","latitude","longitude"
"106","Canvas and Cream ","18 London Road","","London","Greater London","SE23 3HF","18 London Road  SE23 3HF London Greater London",51.3787624,-0.103022780154643
"107","Benito's","19 New Row","","London","Greater London","WC2N 4LA","19 New Row  WC2N 4LA London Greater London",51.5111858,-0.1259538
"108","Humble Grape","11-13","Theberton Street","London","Greater London","N1 0QY","11-13 Theberton Street N1 0QY London Greater London",51.5375224,-0.1053695
"109","England's Lane Restaurant Ltd ","2 Englands Lane","","London","Greater London","NW3 4TG","2 Englands Lane  NW3 4TG London Greater London",51.5461066,-0.161881
"110","The Grumpy Mole Cheam","Ewell Road","Cheam","Sutton","Greater London","SM3 8AA","Ewell Road Cheam SM3 8AA Sutton Greater London",51.3574476,-0.2203063
"111","Six By Nico (Fitzrovia) Limited","41 Charlotte Street","","London","Greater London","W1T 1RX","41 Charlotte Street  W1T 1RX London Greater London",51.5207557,-0.1370935
"112","Queens Head Chiswick","12 Sutton Lane North","","London","Greater London","W4 4LD","12 Sutton Lane North  W4 4LD London Greater London",51.4885691,-0.2700472
"113","The Rajdoot","49 Paddington Street","","London","Greater London","W1U 4HW","49 Paddington Street  W1U 4HW London Greater London",51.5205746,-0.153496265180757
"114","ZARA RESTAURANT LONDON LTD","11 South End Road","","London","Greater London","NW3 2PT","11 South End Road  NW3 2PT London Greater London",51.55428885,-0.165897211179091
"115","Otter Trading Limited","17 Knights Hill","","London","Greater London","SE27 0HS","17 Knights Hill  SE27 0HS London Greater London",51.4312202,-0.1040988
"116","Spice Village Tooting ","32-36 Upper Tooting Road","","London","Greater London","SW17 7PD","32-36 Upper Tooting Road  SW17 7PD London Greater London",51.4331775,-0.1634045
"117","RENAISSANCE 3964 LIMITED","245 Lavender Hill","","London","Greater London","SW11 1JW","245 Lavender Hill  SW11 1JW London Greater London",51.4641875,-0.1630612
"118","The Raven","375 Goldhawk Road","","London","Greater London","W6 0SA","375 Goldhawk Road  W6 0SA London Greater London",51.5017564,-0.2265662
"119","The Kings Arms","55 The Grove","","London","Greater London","W5 5DX","55 The Grove  W5 5DX London Greater London",51.5109764,-0.302164192589294
"120","Bounce Old Street","241 Old Street","","London","Greater London","EC1V 9EY","241 Old Street  EC1V 9EY London Greater London",51.5267158,-0.0841988510529595
