"","Name","Line.1","Line.2","Town","County","Postcode"
"42","Mr Fox","34 Surrey Street","","Croydon","Greater London","CR0 1RJ"
"43","POPINN CAFE","7 Station Approach","South Ruislip","Ruislip","Greater London","HA4 6RU"
"44","lexpress coffee","250 Euston Road","","London","Greater London","NW1 2PG"
"45","Chapter One","Farnborough Common","","Orpington","Greater London","BR6 8NF"
"46","five four ate","548 Holloway Road","","London","Greater London","N7 6JP"
"47","Outsider Tart","83 Chiswick High Road","","London","Greater London","W4 2EF"
"48","Al Fresco","1327 High Road","","London","Greater London","N20 9HR"
"49","Al Fresco","21-22","Station Parade Cockfosters Road","Barnet","Greater London","EN4 0DW"
"50","Flat Iron Steak Covent Garden","17 Henrietta Street","","London","Greater London","WC2E 8QH"
"51","Flat Iron Steak Shoreditch","77 Curtain Road","","London","Greater London","EC2A 3BS"
"52","Flat Iron Steak Soho","17 Beak Street","","London","Greater London","W1F 9RW"
"53","Flat Iron Steak West End","9 Denmark Street","","London","Greater London","WC2H 8LS"
"54","Flat Iron London Bridge","112-114","Tooley Street","London","Greater London","SE1 2TH"
"55","Flat Iron Steak Kings Cross","47-49 Caledonian Road","Islington","London","Greater London","N1 9BU"
"56","Flat Iron Steak Spitalfields","Ground and Basement","88-90 Commercial Street","London","Greater London","E1 6LY"
"57","Slownge","119 Kingsley Road","","Hounslow","Greater London","TW3 4AJ"
"58","Delicious Chicken Ltd","40-42 High Street","","Southall","Greater London","UB1 3DA"
"59","Communion Coffee","21 Trinity Road","","London","Greater London","SW17 7SD"
"60","Lahori Darbar ","62 Ilford Lane","","Ilford","Greater London","IG1 2JZ"
"61","MA PO trading Limited","176-178","Lower Road","London","Greater London","SE16 2UN"
"62","Junction876","195 Stanstead Road","","London","Greater London","SE23 1HP"
"63","Chelsfield Lakes Golf Centre","Court Road","","Orpington","Greater London","BR6 9BX"
"64","Squire's Garden Centre Twickenham","Squires Garden Centre","Sixth Cross Road","Twickenham","Greater London","TW2 5PA"
"65","Squire's Garden Centre Stanmore","Gardens Etc","Common Road","Stanmore","Greater London","HA7 3JF"
"66","The Trafalgar","98 Trafalgar Road","","London","Greater London","SE10 9UW"
"67","Kennedys Restaurant ","169 Whitecross Street","","London","Greater London","EC1Y 8JT"
"68","Kennedys Restaurant ","44 Tooting High Street","","London","Greater London","SW17 0RG"
"69","Kennedys of Goswell Road","184-186","Goswell Road","London","Greater London","EC1V 7DT"
"70","The Black Cat","9 Winslade Way","","London","Greater London","SE6 4JU"
"71","Flavourz Africana ","12 Craven Park Road","","London","Greater London","NW10 4AB"
"72","TSARETTA SPICE","55 Church Street","","Twickenham","Greater London","TW1 3NR"
"73","Kindred","Bradmore House","Queen Caroline Street","London","Greater London","W6 9BW"
"74","Terra Terra","Former 120","Finchley Road","London","Greater London","NW3 5HT"
"75","La Plata Steakhouse","109 Sheen Lane","","London","Greater London","SW14 8AE"
"76","Haven Bistro & Bar","1363 High Road","","London","Greater London","N20 9LN"
"77","The Grove Bar & Restaurant","The Grove","83 Hammersmith Grove","London","Greater London","W6 0NQ"
"78","RERHOU TRADE LIMITED","201-203","Longbridge Road","Barking","Greater London","IG11 8UF"
"79","Mezi’s kitchen ","8 Barnsbury Road","","London","Greater London","N1 0HB"
"80","Pilau","34 Goodge Street","","London","Greater London","W1T 2QL"
"81","Iberica Victoria","68 Victoria Street","","London","Greater London","SW1E 6SQ"
"82","Iberica La Terraza","12 Cabot Square","","London","Greater London","E14 4QQ"
"83","Iberica Farringdon","89-90 Turnmill Street","Islington","London","Greater London","EC1M 5QU"
"84","Iberica Marylebone","195 Great Portland Street","","London","Greater London","W1W 5PS"
"85","Iberica Canary Wharf","12 Cabot Square","","London","Greater London","E14 4QQ"
"86","sagar restaurant ","17a","Percy Street","London","Greater London","W1T 1DU"
"87","sagar restaurant ","157 King Street","","London","Greater London","W6 9JT"
"88","sagar restaurant ","31 Catherine Street","","London","Greater London","WC2B 5JS"
"89","sagar restaurant ","57 Station Road","North Harrow","Harrow","Greater London","HA2 7SR"
"90","Aqua Brasserie Bromley Limited","4-6","Market Parade East Street","Bromley","Greater London","BR1 1QN"
"91","Quilon","41-54","Buckingham Gate","London","Greater London","SW1E 6AF"
"92","Memory Box","80-88","High Street","Croydon","Greater London","CR0 1NA"
"93","Ponte Nuovo Ristorante","80-88","High Street","Croydon","Greater London","CR0 1NA"
"94","The Sheaf","The Hop Exchange","24 Southwark Street","London","Greater London","SE1 1TY"
"95","Streetorganic ","Unit 15, Portobello Green","281 Portobello Road","London","Greater London","W10 5TZ"
"96","E&O","14 Blenheim Crescent","","London","Greater London","W11 1NN"
"97","MONAFS","119 Station Road","","Hampton","Greater London","TW12 2AL"
"98","India Club","First Floor to Sixth Floor","143-145 Strand","London","Greater London","WC2R 1JA"
