"","Name","Line.1","Line.2","Town","County","Postcode"
"610","Snog Frozen Yogurt","9 Brewer Street","","London","Greater London","W1F 0RG"
"611","Beltane&Pop","Unit 6a, Gloucester Road Arcade","128 Gloucester Road","London","Greater London","SW7 4SF"
"612","Snog Frozen Yogurt","Southbank Centre Belvedere Road","","London","Greater London","SE1 8XX"
"613","Snog Frozen Yogurt","Unit 6a, Gloucester Road Arcade","128 Gloucester Road","London","Greater London","SW7 4SF"
"614","Beltane&Pop","Riverside Building, County Hall","Westminster Bridge Road","London","Greater London","SE1 7PB"
"615","Snog Frozen Yogurt","Kiosk 1018b, Westfield London","Ariel Way","London","Greater London","W12 7GB"
"616","Beltane&Pop","Kiosk 1018a, Westfield London","Ariel Way","London","Greater London","W12 7GB"
"617","The Catch of Chiswick (Fish N' Chips)","293 Chiswick High Road","","London","Greater London","W4 4HH"
"618","RiCE Persian Kitchen","293 Chiswick High Road","","London","Greater London","W4 4HH"
"619","Sam's Chicken","292 Neasden Lane","","London","Greater London","NW10 0AD"
"620","Town Bites","153 South Ealing Road","","London","Greater London","W5 4QP"
"621","Alma Cafe (Hammersmith)","12-14","Beadon Road","London","Greater London","W6 0DA"
"622","Alma Cafe (Barnes)","3 Rocks Lane","Barnes","London","Greater London","SW13 0DB"
"623","Lahore Spices ","284-286","High Street","Sutton","Greater London","SM1 1PQ"
"624","Sky Ocean Limited","9 Parkway","","London","Greater London","NW1 7PG"
"625","THE M KITCHEN","269 Broadway","","Bexleyheath","Greater London","DA6 8DB"
"626","Cruffins","66","Bellegrove Road","Welling","Greater London","DA16 3PY"
"627","Mirch masala coulsdon","204 Brighton Road","","Coulsdon","Greater London","CR5 2NF"
"628","Chelo","8 Lauderdale Parade Lauderdale Road","","London","Greater London","W9 1LU"
"629","Lahori zaika","381 High Road","","Wembley","Greater London","HA9 6AA"
"630","SAMSARA RESTAURANT","23-25","High Street","Sutton","Greater London","SM3 8RE"
"631","Nazmin's Restaurant","398 Garratt Lane","","London","Greater London","SW18 4HP"
"632","The Duke of Richmond","316 Queensbridge Road","","London","Greater London","E8 3NH"
"633","One Plus","31 Gerrard Street","","London","Greater London","W1D 6JT"
"634","South River Coffee","84 Balham High Road","","London","Greater London","SW12 9AG"
"635","Parkway Restaurant Limited","29-31","Parkway","London","Greater London","NW1 7PN"
"636","Trevi ristorante ","16-18","Highbury Corner","London","Greater London","N5 1RD"
"637","Sutton Green Cafe Ltd","347 High Street","","Sutton","Greater London","SM1 1LW"
"638","Highbury Cafe","134 Holloway Road","","London","Greater London","N7 8DD"
"639","Fugitive Motel","199 Cambridge Heath Road","","London","Greater London","E2 0EL"
"640","Bella Art Caffe","208-210","Brighton Road","Coulsdon","Greater London","CR5 2NF"
"641","windsor cafe","22 Windsor Street","","Uxbridge","Greater London","UB8 1AB"
"642","Tapas Brindisa South Kensington","7-9","Exhibition Road","London","Greater London","SW7 2HE"
"643","Tapas Brindisa Soho","46 Broadwick Street","","London","Greater London","W1F 7AF"
"644","Tapas Brindisa Battersea Power Station","25 Circus Road West","","London","Greater London","SW11 8EZ"
"645","Tapas Brindisa London Bridge","18-20","Southwark Street","London","Greater London","SE1 1TJ"
"646","Tasas Brindisa Shoreditch","152 Curtain Road","Hackney","London","Greater London","EC2A 3AT"
"647","The Waffle Factory ","Basement and Ground Floor South","58 Queensway","London","Greater London","W2 3RL"
"648","Central Restaurant and Lounge","271 Green Lane","","Ilford","Greater London","IG3 9TN"
"649","Proud Marys Cafe","1b","Oaklands Grove","London","Greater London","W12 0JD"
"650","Desi Hype","102-108","Pinner Road","Harrow","Greater London","HA1 4JD"
"651","Mooshies London Ltd","104 Brick Lane","","London","Greater London","E1 6RL"
"652","BESITO LIMITED T/A CAFE BUENO ","4 High Street","","Romford","Greater London","RM1 1HR"
"653","NEGRO LIMITED T/A CAFE FINO ","88 Market Place","","Romford","Greater London","RM1 3ER"
"654","The Coffee house   (Trading Name)","Ground Floor Shop","135 High Street","Acton","Greater London","W3 6LY"
"655","Bar B Que ","235 Bethnal Green Road","","London","Greater London","E2 6AB"
"656","SO!...Bar & Restaurant","Units 1d to 1e","Royal Victoria Place","London","Greater London","E16 1UQ"
"657","Sweet Thursday","95 Southgate Road","","London","Greater London","N1 3JS"
"658","Blue Check","12-13","Empire Parade Empire Way","Wembley","Greater London","HA9 0RQ"
"659","Kennington lane cafe ","383 Kennington Lane","","London","Greater London","SE11 5QY"
"660","station cafe uk limited","436 Cranbrook Road","","Ilford","Greater London","IG2 6LL"
"661","Basil Garden","111 New Road","","London","Greater London","E1 1HJ"
"662","Gringos","4 Queens Parade Queens Road","","London","Greater London","NW4 3NS"
"663","Bangla Star LTD","34-38","Vauxhall Bridge Road","London","Greater London","SW1V 2RY"
"664","The Scolt Head","107a","Culford Road","London","Greater London","N1 4HT"
"665","Unico 28","28 High Street","Hampton Hill","Hampton","Greater London","TW12 1PD"
"666","Oru Space Ltd","20-22","Lordship Lane","London","Greater London","SE22 8HN"
"667","Banh Mi Bay","4-6","Theobalds Road","London","Greater London","WC1X 8PN"
"668","Banh Mi Bay","45 Surrey Quays Shopping Centre Red","","London","Greater London","SE16 7LL"
"669","BAGELICIOUS","27 Strutton Ground","","London","Greater London","SW1P 2HY"
"670","Westminster Kitchen","3 Belvedere Road","","London","Greater London","SE1 7GP"
"671","TROIA Southbank Charcoal Kebab Kitchen","3f-3g","Belvedere Road","London","Greater London","SE1 7GQ"
"672","La Cucina Di Mamma","3j-3k","Belvedere Road","London","Greater London","SE1 7GQ"
"673","bobochacha","192 Tooting High Street","","London","Greater London","SW17 0SF"
"674","Ken's Kitchen","87 Great Eastern Street","","London","Greater London","EC2A 3HY"
"675","Daily Cafe","23 Three Colts Lane","","London","Greater London","E2 6JL"
"676","Toulouse Lautrec","140 Newington Butts","","London","Greater London","SE11 4RN"
"677","Panda Cook","21 Windsor Drive","","Orpington","Greater London","BR6 6EY"
"678","JIHWAJA LTD","353a","Kennington Lane","London","Greater London","SE11 5QY"
"679","Aroma de Cafe","Unit 10","91-95 Newington Butts","London","Greater London","SE1 6SF"
"680","The Adega Restaurant and Tapas Bar Ltd.","77 The Broadway","","London","Greater London","SW19 1QE"
"681","City Spice ","138 Brick Lane","","London","Greater London","E1 6RU"
"682","BURGER HOUSE EALING LTD","45 Broadway","","London","Greater London","W13 9BP"
"683","BBQ Express","66 High Street Wanstead","","London","Greater London","E11 2RJ"
"684","Nosh 'n' Go ltd","7 Abbey Parade","","London","Greater London","W5 1EE"
"685","The Flamin Chicken","38 Kings Road","","London","Greater London","E4 7JE"
"686","Cinq sandwiches ","Unit 16-17, Hays Galleria","Counter Street","London","Greater London","SE1 2HD"
"687","Wok & Go ","43 Tooting High Street","","London","Greater London","SW17 0SP"
"688","woo tea","26 Wardour Street","","London","Greater London","W1D 6QL"
"689","ALBION'S  RESTAURANT ","117 Kentish Town Road","","London","Greater London","NW1 8PB"
"690","Shapur Indian Restaurant ","149 Strand","","London","Greater London","WC2R 1JA"
"691","XOXO COFFEE & PATISSERIE","68 Walm Lane","","London","Greater London","NW2 4RA"
"692","Spice Village","311 Romford Road","","London","Greater London","E7 9HA"
"693","Lenos y Carbon ","Railway Arch 113","Elephant Road","London","Greater London","SE17 1LB"
"694","Crazy Salad","33-35","Woburn Place","London","Greater London","WC1H 0JR"
"695","Sicily","2a","Elizabeth Street","London","Greater London","SW1W 9RB"
"696","Hansom Cab","Public House","84-86 Earl's Court Road","London","Greater London","W8 6EG"
"697","The Royal Oak","2 Regency Street","","London","Greater London","SW1P 4BZ"
"698","The Rising Sun","44-46","Ebury Bridge Road","London","Greater London","SW1W 8PZ"
"699","Springfield Park Cafe","Bowling Green Pavilion","Springfield Park","London","Greater London","E5 9EF"
"700","The Queens Head","25 High Street","Downe","Orpington","Greater London","BR6 7US"
"701","The Sloane Club","50-52","Lower Sloane Street","London","Greater London","SW1W 8BS"
"702","Sloane Place","50-52","Lower Sloane Street","London","Greater London","SW1W 8BS"
"703","CRATE Brewery & Pizzeria","Unit 7 Ground and Mezz, Queens Yard","43 White Post Lane","London","Greater London","E9 5EN"
"704","light of India","67-69","Gloucester Road","London","Greater London","SW7 4PG"
"705","Charcoal Edgware","60 High Street","","Edgware","Greater London","HA8 7EJ"
"706","Cocotte","95 Westbourne Grove","","London","Greater London","W2 4UW"
"707","Cocotte","271 New Kings Road","","London","Greater London","SW6 4RD"
"708","The Distillery","186 Portobello Road","","London","Greater London","W11 1LA"
"709","Plaquemine Lock","139 Graham Street","","London","Greater London","N1 8LB"
"710","poached","12a","High Street","Beckenham","Greater London","BR3 1AZ"
"711","AUN","Ground Floor","178 Stoke Newington Church Street","London","Greater London","N16 0JL"
"712","Tai Won Mein","90-92","Rushey Green","London","Greater London","SE6 4HW"
"713","Wulf & Lamb Chelsea","243 Pavilion Road","","London","Greater London","SW1X 0BP"
"714","Rosso Restaurant","1 The Broadway","","Woodford Green","Greater London","IG8 0HL"
"715","KAMAYAN SA EARLS COURT","12 Kenway Road","","London","Greater London","SW5 0RR"
"716","Hard Rock Café London","150 Old Park Lane","","London","Greater London","W1K 1QZ"
"717","Hard Rock Café Piccadilly  ","Lower Ground Floor,Basement and Par","225-229 Piccadilly","London","Greater London","W1J 9HR"
"718","Heavenly Desserts ","5 Endeavour Square","","London","Greater London","E20 1JN"
"719","Metronome","8 Crown Lane","","Morden","Greater London","SM4 5BL"
"720","The Union (private dining) Club","50 Greek Street","","London","Greater London","W1D 4EQ"
"721","Cube","4 Blenheim Street","","London","Greater London","W1S 1LB"
"722","Legare","31G Shad Thames","","London","Greater London","SE1 2YR"
"723","The Gunnersbury Pub","590 Chiswick High Road","","London","Greater London","W4 5RP"
"724","Rumbles Coffee Shop ","4 Cheam Common Road","","Worcester Park","Greater London","KT4 8RW"
"725","Mylahore","Unit 1","Jenkins Lane","London","Greater London","IG11 0AD"
"726","Mimis Coffee and Dessert lounge","5-8","Noble Corner Great West Road","Hounslow","Greater London","TW5 0PA"
"727","Satay House Limited","13 Sale Place","","London","Greater London","W2 1PX"
"728","The Three Compasses","99 Dalston Lane","","London","Greater London","E8 1NH"
"729","Topolino Italian Restaurant","130 High Street","","West Wickham","Greater London","BR4 0LZ"
"730","Chai Factory Four Limited t/a Chaiiwala","44 Plashet Grove","East Ham","London","Greater London","E6 1AE"
"731","La Rosetta","200-201 High Street","","Brentford","Greater London","TW8 8AH"
"732","The Waldegrave Arms ltd ","Waldegrave Arms","209-211 Waldegrave Road","Teddington","Greater London","TW11 8LX"
"733","Mamma Rosa","36 High Street","","Ruislip","Greater London","HA4 7AN"
"734","Arepa & Co - Bethnal Green","254 Paradise Row","","London","Greater London","E2 9LE"
"735","Arepa & Co - Haggerston","58a","De Beauvoir Crescent","London","Greater London","N1 5RY"
"736","The Well","The Kings Centre","Coppard Gardens","Chessington","Greater London","KT9 2GZ"
"737","Ilford Tea Rooms Ltd t/a Chaiiwala","253 Ilford Lane","","Ilford","Greater London","IG1 2SB"
"738","Oriental Club (1824) Limited","11 Stratford Place","","London","Greater London","W1C 1ES"
"739","Dunkin Donuts Baker Street","191 Baker Street","","London","Greater London","NW1 6UY"
"740","Franks Canteen","86 Highbury Park","","London","Greater London","N5 2XE"
"741","kushi","168a","Main Road","Romford","Greater London","RM2 5HS"
"742","Chezlalee ","4 the Griffin Centre","Market Place","Kingston upon Thames","Greater London","KT1 1JT"
"743","The Fat Walrus","44 Lewisham Way","","London","Greater London","SE14 6NP"
"744","Dibs","52 Red Lion Street","","London","Greater London","WC1R 4PF"
"745","Hippodrome Casino Limited","The Hippodrome","10-14 Cranbourn Street","London","Greater London","WC2H 7JH"
"746","Delhi Grill","21 Chapel Market","","London","Greater London","N1 9EZ"
"747","All Star Lanes - Westfield Stratford","302 the Loft,Westfield Stratford Ci","Montfichet Road","London","Greater London","E20 1ET"
"748","All Star Lanes - Holborn","Store 1 and Premises at Basement Le","37-63 Southampton Row","London","Greater London","WC1B 4DA"
"749","All Star Lanes - Brick Lane","91 Brick Lane","","London","Greater London","E1 6QL"
"750","All Star Lanes - White City","Unit Su0220a,Westfield London Shopp","Ariel Way","London","Greater London","W12 7HB"
"751","Kensington Close Hotel","Hotel, Kensington Close Hotel","Wright's Lane","London","Greater London","W8 5SP"
"752","La Patagonia","31 Camden High Street","","London","Greater London","NW1 7JE"
"753","ciao bella restaurant ltd","90 Lambs Conduit Street","","London","Greater London","WC1N 3LZ"
"754","Noodle Bar","Unit 12-14, Boxpark Croydon","99 George Street","Croydon","Greater London","CR0 1LD"
"755","Pad Thai House","42 Newington Causeway","","London","Greater London","SE1 6DR"
"756","Butchers Grill","42 Newington Causeway","","London","Greater London","SE1 6DR"
"757","Argentinian Grill","Unit 12-14, Boxpark Croydon","99 George Street","Croydon","Greater London","CR0 1LD"
"758","Namaste Lounge Limited","66 Joel Street","","Northwood","Greater London","HA6 1LL"
"759","lokma grill and bar","11 Bermondsey Square","","London","Greater London","SE1 3UN"
"760","Grove on the Hill","Ground Floor Restaurant","41 High Street","Harrow","Greater London","HA1 3HT"
"761","BLUE ZENZER","280 Watford Road","","Harrow","Greater London","HA1 3TZ"
"762","Argentinian Grill","42 Newington Causeway","","London","Greater London","SE1 6DR"
"763","Libanese","42 Newington Causeway","","London","Greater London","SE1 6DR"
"764","GLOBE","8 Bedale Street","","London","Greater London","SE1 9AL"
"765","MILL & BREW","23 The Broadway","","London","Greater London","NW7 3DA"
"766","Kanchans Rasoi","807 Romford Road","","London","Greater London","E12 5AN"
"767","SpiceBox","58 Hoe Street","","London","Greater London","E17 4PG"
"768","INDIAN EXPRESS TAKEAWAY LTD","3 North End Parade","","London","Greater London","W14 0SJ"
"769","SARAVANAA BHAVAN","97 South Road","","Southall","Greater London","UB1 1SQ"
"770","SARAVANAA BHAVAN","300 High Street North","","London","Greater London","E12 6SA"
"771","Paladar","4-5","London Road","London","Greater London","SE1 6JZ"
"772","The Cafe ","Civic Offices","2 Watling Street","Bexleyheath","Greater London","DA6 7AT"
"773","The Green Roof Cafe","Shire Lane","","Orpington","Greater London","BR6 7JH"
"774","KFC","39 Station Parade","","Barking","Greater London","IG11 8EB"
"775","L'Artiste Muscle ","1 Shepherd Market","","London","Greater London","W1J 7PA"
"776","Pickled Pantry","7 Central Parade St. Marks Hill","","Surbiton","Greater London","KT6 4PJ"
"777","Oka Restaurants ","Basement and Ground Floor","19 New Cavendish Street","London","Greater London","W1G 9TZ"
"778","oka restaurant ","88 Church Road","","London","Greater London","SW13 0DQ"
"779","oka restaurant ","Second Floor Units 4 to 6,Kingly Co","Kingly Court","London","Greater London","W1B 5PW"
"780","oka restaurant ","71 Regents Park Road","","London","Greater London","NW1 8UY"
"781","oka restaurant ","Ground Floor","251 King's Road","London","Greater London","SW3 5EL"
"782","Soul Deli","Spaces The Foundry","77 Fulham Palace Road","London","Greater London","W6 8JA"
"783","Soul Deli","Spaces Canary Wharf","25 Cabot Square","London","Greater London","E14 4AP"
"784","Soul Deli","Spaces Heathrow Airport","Ground Floor, The Bower","West Drayton","Greater London","UB11 1AF"
"785","Soul Deli","Spaces Angel Islington","70 White Lion Street","London","Greater London","N1 9PP"
"786","Soul Deli","Spaces Aurora House","71-75 Uxbridge Road","Ealing","Greater London","W5 5SL"
"787","Chik'n","187 Wardour Street","","London","Greater London","W1F 8ZB"
"788","Chik'n","62 Upper Street","","London","Greater London","N1 0NY"
"789","Latteria Restaurant","56-58 Essex Road","Islington","London","Greater London","N1 8LR"
"790","La Divina","134 Upper Street","","London","Greater London","N1 1QP"
"791","THE RAJDOOT LOUNGE LIMITED","104 Fleet Road","","London","Greater London","NW3 2QX"
"792","Daisy Grey Beckenham","96 Wickham Road","","Beckenham","Greater London","BR3 6QH"
"793","Daisy Grey Keston","6 Commonside","","Keston","Greater London","BR2 6BP"
"794","SARAVANAA BHAVAN","403 Alexandra Avenue","","Harrow","Greater London","HA2 9SG"
"795","SARAVANAA BHAVAN","115-127","Cranbrook Road","Ilford","Greater London","IG1 4PU"
"796","Kanada Ya","64 St. Giles High Street","","London","Greater London","WC2H 8LE"
"797","Kanada Ya","Basement and Ground Floor","3 Panton Street","London","Greater London","SW1Y 4DL"
"798","Kanada Ya","Ground and First Floor","35 Upper Street","London","Greater London","N1 0PN"
"799","Tenneesse fried chicken ","228 High Street North","","London","Greater London","E12 6SB"
"800","BLUE GINGER","383 Kenton Road","","Harrow","Greater London","HA3 0XS"
"801","Well Kneaded Pizzeria","414 Garratt Lane","","London","Greater London","SW18 4HW"
"802","Zer Cafe&Juice bar","Unit A, Residence Tower","Goodchild Way","London","Greater London","N4 2LY"
"803","Star of Bethnal Green ","359 Bethnal Green Road","","London","Greater London","E2 6LG"
"804","Star by Hackney Downs ","35 Queensdown Road","","London","Greater London","E5 8NN"
"805","MY OLD PLACE UK LIMITED","88-90","Middlesex Street","London","Greater London","E1 7EZ"
"806","Wassouf Lounge","4-5","North End Parade","London","Greater London","W14 0SJ"
"807","Flying Horse Coffee","Unit 3, 2 Television Centre","101 Wood Lane","London","Greater London","W12 7FR"
"808","ISLAY COFFEE&CAKE","74 High Street","","Teddington","Greater London","TW11 8JD"
"809","The Tommyfield","185 Kennington Lane","","London","Greater London","SE11 4EZ"
"810","German doner kebab","207 Mile End Road","","London","Greater London","E1 4AA"
"811","Holy Cow Restaurant and Bar","240 Upper Richmond Road","","London","Greater London","SW15 6TG"
"812","Sergio's (London) Ltd","84a","Great Titchfield Street","London","Greater London","W1W 7QY"
"813","Barrica Tapas Bar","62 Goodge Street","","London","Greater London","W1T 4NE"
"814","OKN1 Limited","40 Hoxton Street","","London","Greater London","N1 6LR"
"815","Casa Do Frango Shoreditch","2 King John Court","","London","Greater London","EC2A 3EZ"
"816","Casa Do Frango London Bridge ","32 Southwark Street","","London","Greater London","SE1 1TU"
"817","Tamara Lounge Limited","Uxbridge Road","Hillingdon","Uxbridge","Greater London","UB10 0NA"
"818","Pumblechooks.cafe","27-29","Thomas More Square","London","Greater London","E1W 1YW"
"819","St John Smithfield","Basement and Ground Floor","26 St John Street","London","Greater London","EC1M 4AY"
"820","St John Bread & Wine","Ground","94-96 Commercial Street","London","Greater London","E1 6LZ"
"821","Union Jack Club","Sandell Street","","London","Greater London","SE1 8UJ"
"822","TONGUE AND BRISKET","Ground Floor","23 Goodge Street","London","Greater London","W1T 2PL"
"823","B AND K SALT BEEF BAR AND RESTAURANTS LIMITED","353 Uxbridge Road","","Pinner","Greater London","HA5 4JN"
"824","TONGUE AND BRISKET","22 Leather Lane","","London","Greater London","EC1N 7SU"
"825","TONGUE AND BRISKET","199 Wardour Street","","London","Greater London","W1F 8JP"
"826","Machiya","5 Panton Street","","London","Greater London","SW1Y 4DL"
"827","The Black Lion","59-61","High Street","London","Greater London","E13 0AD"
"828","Pizza house and Mediterranean Restaurant ","100-102 Pitshanger Lane","","Ealing","Greater London","W5 1QX"
"829","Rude Health Cafe","Ground Floor Front","212 New King's Road","London","Greater London","SW6 4NZ"
"830","The Stonhouse ","165 Stonhouse Street","","London","Greater London","SW4 6BJ"
"831","Adels ","96a","Broadway","Bexleyheath","Greater London","DA6 7DE"
"832","Platform","2b","Worship Street","London","Greater London","EC2A 2AH"
"833","Krave Dessert Cafe ","23 The Broadway Joel Street","","Northwood","Greater London","HA6 1NU"
"834","Sexy Fish","Berkeley Square House","Berkeley Square","London","Greater London","W1J 6BR"
"835","Daphne's","110-112","Draycott Avenue","London","Greater London","SW3 3AE"
"836","34 Mayfair","34 Grosvenor Square","","London","Greater London","W1K 2HD"
"837","The Ivy Club","1-5","West Street","London","Greater London","WC2H 9NQ"
"838","J Sheekey","28-32","St. Martin's Court","London","Greater London","WC2N 4AL"
"839","The Bolingbroke","172-174","Northcote Road","London","Greater London","SW11 6RE"
"840","Kotch","55 Leytonstone Road","","London","Greater London","E15 1JA"
"841","CAFFE CONCERTO - SHAFTESBURY AVENUE","Basement and Ground Floor","50 Shaftesbury Avenue","London","Greater London","W1D 6LW"
"842","CAFFE CONCERTO - PICCADILLY ","29-31","Piccadilly","London","Greater London","W1J 0LF"
"843","CAFFE CONCERTO - KNIGHTSBRIDGE","152 Brompton Road","","London","Greater London","SW3 1HX"
"844","CAFFE CONCERTO - GREEN PARK","61 Piccadilly","","London","Greater London","W1J 0DY"
"845","CAFFE CONCERTO - WHITEHALL","43 Whitehall","","London","Greater London","SW1A 2BX"
"846","CAFFE CONCERTO - NEW KNIGHTSBRIDGE","78 Brompton Road","","London","Greater London","SW3 1ER"
"847","CAFFE CONCERTO - NORTHUMBERLAND AVE","4-5","Northumberland Avenue","London","Greater London","WC2N 5BY"
"848","CAFFE CONCERTO - KENSINGTON","88-90","Kensington High Street","London","Greater London","W8 4SG"
"849","CAFFE CONCERTO - REGENT STREET","79-81","Regent Street","London","Greater London","W1B 4EG"
"850","CAFFE CONCERTO - KINGS ROAD","52 Kings Road","","London","Greater London","SW3 4UD"
"851","The Avalon","16 Balham Hill","","London","Greater London","SW12 9EB"
"852","Argentinian Grill","Unit 26, Boxpark Wembley","18 Olympic Way","Wembley","Greater London","HA9 0JT"
"853","Street Pizza York & Albany","127-129","Parkway","London","Greater London","NW1 7PS"
"854","Union Street Cafe","Basement and Ground Floor","47-51 Great Suffolk Street","London","Greater London","SE1 0BS"
"855","York and Albany","127-129","Parkway","London","Greater London","NW1 7PS"
"856","Heddon Street Kitchen","First Floor Front","3-9 Heddon Street","London","Greater London","W1B 4BE"
"857","London House","7-9 Battersea Square","","London","Greater London","SW11 3RA"
"858","Maze Grill Park Walk","11 Park Walk","","London","Greater London","SW10 0AJ"
"859","Bala Baya","Arch 25, Old Union Yard Arches","229 Union Street","London","Greater London","SE1 0LR"
"860","The Rosendale","65 Rosendale Road","","London","Greater London","SE21 8EZ"
"861","Silver grill cafe","4 Barters Walk","","Pinner","Greater London","HA5 5LU"
"862","Yatri Indian Restaurant","3-9 Chalton Street","","London","Greater London","NW1 1JD"
"863","The Melody Restaurant","153 Hammersmith Road","","London","Greater London","W14 0QL"
"864","The Greyhound  ","4 Commonside","","Keston","Greater London","BR2 6BP"
"865","Antipodea kew ","9 Station Approach","","Richmond","Greater London","TW9 3QB"
"866","Antipodea Richmond ","30 Hill Street","","Richmond","Greater London","TW9 1TW"
"867","Brew Wimbledon","21 High Street Wimbledon","","London","Greater London","SW19 5DX"
"868","Brew Northcote Road","45 Northcote Road","","London","Greater London","SW11 1NJ"
"869","Market cafe","151 High Street","","London","Greater London","E17 7BX"
"870","The Latchmere","503 Battersea Park Road","","London","Greater London","SW11 3BW"
"871","Lamour","238-240","Munster Road","London","Greater London","SW6 6BA"
"872","Sticky Mango","33 Coin Street","","London","Greater London","SE1 9NR"
"873","EKIN RESTAURANT","240 Belsize Road","","London","Greater London","NW6 4BT"
"874","Martello Hall","137 Mare Street","","London","Greater London","E8 3RH"
"875","Cattivo Bar","201-207 Ferndale Road","","London","Greater London","SW9 8BA"
"876","PEPPERS CHISWICK LIMITED","10 Fauconberg Road","","London","Greater London","W4 3JY"
"877","Masala Chai Nashta","90 Upton Lane","","London","Greater London","E7 9LW"
"878","Beijing Garden","33-37","Malden Road","Sutton","Greater London","SM3 8QW"
"879","Needoo Grill","87","New Road","London","Greater London","E1 1HH"
"880","The Princess Victoria","217 Uxbridge Road","","London","Greater London","W12 9DH"
"881","The Bedford","77 Bedford Hill","","London","Greater London","SW12 9HD"
"882","SAGGOR TANDOORI","145 Blendon Road","","Bexley","Greater London","DA5 1BT"
"883","THE GRAND BY CONCERTO","67-68","Piccadilly","London","Greater London","W1J 0HJ"
"884","CAFFE CONCERTO - SOUTH MOLTON","Basement to Second Floor","28 South Molton Street","London","Greater London","W1K 5RF"
"885","DRUMMOND VILLA","118 Drummond Street","","London","Greater London","NW1 2HN"
"886","Fatboys diner","64 Trinity Buoy Wharf Orchard Place","","London","Greater London","E14 0JY"
"887","Haandi Restaurant","7 Cheval Place","","London","Greater London","SW7 1EW"
"888","Sun of China ","28 North End Road","","London","Greater London","NW11 7PT"
"889","BENITA BAKERY","238 Upper Street","","London","Greater London","N1 1RU"
"890","Gem Restaurant ","265 Upper Street","","London","Greater London","N1 2UQ"
"891","BUNNO","14 South Street","","Romford","Greater London","RM1 1RA"
"892","Q Verde Restaurant","291 Sandycombe Road","","Richmond","Greater London","TW9 3LU"
"893","Moti Mahal Ltd","94 The Broadway","","Southall","Greater London","UB1 1QF"
"894","Mr. White's English Chophouse, London Whitechapel","103-107","New Road","London","Greater London","E1 1HJ"
"895","Carbon Kopi","11 Margravine Road","","London","Greater London","W6 8LS"
"896","THE WINDMILL ","224 St. James's Road","","Croydon","Greater London","CR0 2BW"
"897","VeganE","Ground Floor","102 Lillie Road","London","Greater London","SW6 7SR"
"898","GAZETTE BATTERSEA","79 Sherwood Court","Chatfield Road","London","Greater London","SW11 3UY"
"899","Fora Restaurant","11 Circus Road","","London","Greater London","NW8 6NX"
"900","The Palace8 ltd  t/a  King Palace","346-348","High Street","Orpington","Greater London","BR6 0NQ"
"901","Bleeding Heart Bistro","7 Bleeding Heart Yard","","London","Greater London","EC1N 8SJ"
"902","Bleeding Heart Tavern","19a","Greville Street","London","Greater London","EC1N 8SQ"
"903","Cafe Giardino - Bromley 1","251-252","The Glades Shopping Centre High Str","Bromley","Greater London","BR1 1DN"
"904","Cafe Giardino - Bromley 2","Regent Arcade 78-79","The Glades Shopping Centre High Str","Bromley","Greater London","BR1 1DD"
"905","Cafe Giardino - Croydon","Unit 30, North End Mall","Centrale Shopping Centre North End","Croydon","Greater London","CR0 1TY"
"906","AUBERGE - Waterloo","1 Sandell Street","","London","Greater London","SE1 8UH"
"907","SULTAN TURKISH GRILL & BAR","44 Palmers Road","","London","Greater London","E2 0TA"
"908","Nusa Kitchen Old Street","Basement and Ground Floors","10 Old Street","London","Greater London","EC1V 9AB"
"909","Nusa Kitchen Buck Street Market","Camden (buck Street) Market","192-198 Camden High Street","London","Greater London","NW1 8QP"
"910","Spaghetti House","24 Cranbourn Street","","London","Greater London","WC2H 7AB"
"911","Spaghetti House","9 Kensington High Street","","London","Greater London","W8 5NP"
"912","Spaghetti House","12 Woodstock Street","","London","Greater London","W1C 2AF"
"913","Spaghetti House","14-20","Sicilian Avenue","London","Greater London","WC1A 2QD"
"914","Spaghetti House","66 Haymarket","","London","Greater London","SW1Y 4RF"
"915","Spaghetti House","74-76","Duke Street","London","Greater London","W1K 6JZ"
"916","Spaghetti House","15-17","Goodge Street","London","Greater London","W1T 2PQ"
"917","Sticks 'n' Sushi Soho","40 Beak Street","","London","Greater London","W1F 9RQ"
"918","Sticks 'n' Sushi Wimbledon","58 Wimbledon Hill Road","","London","Greater London","SW19 7PA"
"919","Sticks 'n' Sushi Covent Garden ","11 Henrietta Street","","London","Greater London","WC2E 8PY"
"920","Sticks 'n' Sushi Greenwich","1 Nelson Road","","London","Greater London","SE10 9JB"
"921","Miracles","6-7","Cockfosters Parade Cockfosters Road","Barnet","Greater London","EN4 0BX"
"922","GAZETTE PUTNEY","147 Upper Richmond Road","","London","Greater London","SW15 2TX"
"923","Temple Of Seitan","43 Parkway","","London","Greater London","NW1 7PN"
"924","NOODLE & BEER LTD","31 Bell Lane","","London","Greater London","E1 7LA"
"925","GB ICE CREAM CAFE ","220 Old Kent Road","","London","Greater London","SE1 5UB"
"926","Wimpy","121 High Street","","Hornchurch","Greater London","RM11 1TX"
"927","star of india","875 High Road Leytonstone","","London","Greater London","E11 1HR"
"928","XIAN RESTAURANT ","862 High Road","","London","Greater London","N12 9RH"
"929","Comptoir Chelsea","53-54 Duke of York Square","","London","Greater London","SW3 4LY"
"930","Comptoir Westfield","Kiosk 2013,Westfield London Shoppin","Ariel Way","London","Greater London","W12 7GE"
